epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54908,2.01587,4.38202,1.42361,0.00232,0.06848,0.03709,0.02039,1.64041,4.26447,1.12457,0.00012852,0.00012852,0.00012852
2,6.48812,1.76571,3.45159,1.16853,0.03155,0.16889,0.13046,0.07988,1.53156,3.85306,1.08212,0.000258949,0.000258949,0.000258949
3,8.36319,1.7134,2.50344,1.16659,0.8999,0.1453,0.20414,0.11481,1.56548,2.75863,1.11609,0.000384006,0.000384006,0.000384006
4,10.3347,1.67702,2.02604,1.13242,0.89359,0.23107,0.26714,0.15024,1.54853,1.82352,1.10561,0.000503691,0.000503691,0.000503691
5,12.7848,1.61682,1.79693,1.12678,0.80602,0.22807,0.28621,0.15642,1.52864,1.65943,1.10917,0.000618004,0.000618004,0.000618004
6,14.7231,1.55958,1.67163,1.10682,0.84414,0.24261,0.30673,0.1696,1.52,1.60506,1.10471,0.000643314,0.000643314,0.000643314
7,16.6063,1.55947,1.57012,1.11135,0.61119,0.31876,0.34282,0.20294,1.47167,1.44326,1.08831,0.000629177,0.000629177,0.000629177
8,18.5244,1.52116,1.51428,1.09719,0.71057,0.40722,0.37408,0.22006,1.45279,1.25336,1.07483,0.00061504,0.00061504,0.00061504
9,20.4869,1.49781,1.40728,1.06916,0.78828,0.36966,0.4121,0.24504,1.43903,1.15521,1.07454,0.000600902,0.000600902,0.000600902
10,22.4463,1.48235,1.33391,1.0797,0.71563,0.41737,0.4051,0.24551,1.37647,1.10473,1.0565,0.000586765,0.000586765,0.000586765
11,24.4371,1.45347,1.31366,1.06256,0.71081,0.42591,0.41432,0.25657,1.37509,1.08406,1.05959,0.000572628,0.000572628,0.000572628
12,26.6786,1.45376,1.28525,1.06799,0.7524,0.42249,0.4223,0.26397,1.35359,1.07316,1.04448,0.000558491,0.000558491,0.000558491
13,28.6511,1.4347,1.25039,1.04966,0.81096,0.43944,0.44465,0.28089,1.37007,1.06382,1.04684,0.000544354,0.000544354,0.000544354
14,30.5809,1.41296,1.20111,1.04546,0.69152,0.47612,0.45295,0.28486,1.35411,1.08369,1.03769,0.000530216,0.000530216,0.000530216
15,32.4686,1.40739,1.15613,1.07087,0.76796,0.48293,0.49696,0.3146,1.35849,1.01307,1.04315,0.000516079,0.000516079,0.000516079
16,34.3646,1.40941,1.15076,1.05398,0.75683,0.47623,0.51234,0.32185,1.34306,0.99236,1.0372,0.000501942,0.000501942,0.000501942
