epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,36.2666,1.40182,1.12662,1.03064,0.91469,0.45164,0.52366,0.33204,1.34963,0.95798,1.04357,0.000487805,0.000487805,0.000487805
18,38.2011,1.37029,1.06779,1.04019,0.80495,0.49752,0.5409,0.33701,1.34215,0.93115,1.04192,0.000473668,0.000473668,0.000473668
19,40.0704,1.36714,1.04331,1.04297,0.80224,0.51895,0.56913,0.34854,1.32349,0.92012,1.03125,0.00045953,0.00045953,0.00045953
20,42.0116,1.37642,1.03566,1.03971,0.82154,0.5672,0.57417,0.35622,1.32966,0.92305,1.03763,0.000445393,0.000445393,0.000445393
21,43.8716,1.36845,1.02666,1.0357,0.83757,0.56789,0.57806,0.36487,1.31718,0.9108,1.03056,0.000431256,0.000431256,0.000431256
22,45.7188,1.35329,0.99803,1.04321,0.85052,0.56532,0.58065,0.37036,1.3084,0.8929,1.02737,0.000417119,0.000417119,0.000417119
23,47.5774,1.36624,0.98344,1.03944,0.86266,0.58063,0.58915,0.37481,1.3048,0.87902,1.02533,0.000402982,0.000402982,0.000402982
24,49.5203,1.35156,0.96872,1.02652,0.88846,0.58671,0.59636,0.3814,1.30359,0.88495,1.02499,0.000388844,0.000388844,0.000388844
25,51.4078,1.36438,0.93381,1.06068,0.89767,0.58986,0.60722,0.38716,1.29532,0.87506,1.02198,0.000374707,0.000374707,0.000374707
26,53.277,1.34394,0.9309,1.036,0.89045,0.58601,0.60855,0.3856,1.29537,0.8361,1.02618,0.00036057,0.00036057,0.00036057
27,55.1701,1.34813,0.93777,1.0396,0.88781,0.59668,0.61811,0.38904,1.30394,0.81362,1.02734,0.000346433,0.000346433,0.000346433
28,57.0858,1.34901,0.91792,1.02936,0.94367,0.59575,0.62589,0.39337,1.2989,0.8154,1.02793,0.000332296,0.000332296,0.000332296
29,58.9566,1.32151,0.8989,1.02849,0.95219,0.60632,0.64231,0.40754,1.29106,0.80998,1.02492,0.000318158,0.000318158,0.000318158
30,60.8506,1.32114,0.88186,1.01287,0.94701,0.60707,0.644,0.41118,1.28837,0.78082,1.02575,0.000304021,0.000304021,0.000304021
31,62.7823,1.33129,0.88141,1.03681,0.92232,0.62737,0.64871,0.41597,1.28467,0.76825,1.02905,0.000289884,0.000289884,0.000289884
32,64.6367,1.31946,0.87938,1.02163,0.9288,0.62475,0.6508,0.41463,1.27971,0.77105,1.02792,0.000275747,0.000275747,0.000275747
33,66.52,1.32214,0.85931,1.02126,0.93421,0.62695,0.652,0.41645,1.28838,0.75333,1.02641,0.00026161,0.00026161,0.00026161
34,68.3739,1.30813,0.83828,1.0419,0.94264,0.63319,0.65305,0.41539,1.28606,0.73997,1.02534,0.000247472,0.000247472,0.000247472
35,70.2783,1.30398,0.82826,1.03647,0.95094,0.62529,0.65987,0.42204,1.28919,0.72666,1.02672,0.000233335,0.000233335,0.000233335
36,72.1924,1.31354,0.8385,1.02654,0.95958,0.62571,0.66653,0.42951,1.28175,0.71005,1.03098,0.000219198,0.000219198,0.000219198
37,74.135,1.31659,0.82613,1.02205,0.95487,0.62715,0.67686,0.43467,1.27881,0.7084,1.02983,0.000205061,0.000205061,0.000205061
38,75.9996,1.29921,0.8301,1.03302,0.95047,0.62925,0.67398,0.43282,1.27784,0.71652,1.02772,0.000190924,0.000190924,0.000190924
39,77.8662,1.28424,0.80091,1.02368,0.95166,0.6258,0.68401,0.44278,1.27534,0.7173,1.02736,0.000176786,0.000176786,0.000176786
40,79.7243,1.30535,0.81199,1.03405,0.9537,0.62596,0.69203,0.45039,1.27385,0.71078,1.02627,0.000162649,0.000162649,0.000162649
41,95.117,1.32254,0.93956,1.04603,0.94375,0.63179,0.70276,0.45083,1.27872,0.72838,1.0276,0.000148512,0.000148512,0.000148512
42,96.872,1.30394,0.86953,1.05263,0.9498,0.62442,0.70734,0.45157,1.28199,0.7547,1.03066,0.000134375,0.000134375,0.000134375
43,98.6194,1.3077,0.8526,1.06033,0.9522,0.62412,0.71027,0.45341,1.27713,0.72711,1.03416,0.000120238,0.000120238,0.000120238
44,100.61,1.28604,0.80827,1.05051,0.94291,0.62628,0.70179,0.44807,1.27953,0.71018,1.03293,0.0001061,0.0001061,0.0001061
45,102.569,1.29477,0.81096,1.04104,0.94806,0.62024,0.7031,0.44937,1.27645,0.70613,1.03045,9.19632e-05,9.19632e-05,9.19632e-05
46,104.353,1.28165,0.78707,1.03934,0.95789,0.61702,0.71759,0.45967,1.27677,0.70069,1.03041,7.7826e-05,7.7826e-05,7.7826e-05
47,106.143,1.27187,0.7787,1.04091,0.97046,0.6172,0.72383,0.46603,1.27555,0.69233,1.03134,6.36888e-05,6.36888e-05,6.36888e-05
48,107.923,1.27536,0.7717,1.04596,0.96106,0.62785,0.7221,0.46669,1.27152,0.68616,1.03037,4.95516e-05,4.95516e-05,4.95516e-05
49,109.684,1.26949,0.76895,1.03876,0.96427,0.62597,0.72192,0.46727,1.26813,0.68374,1.02873,3.54144e-05,3.54144e-05,3.54144e-05
50,111.556,1.27129,0.76874,1.04651,0.96426,0.62584,0.72331,0.46807,1.26719,0.68155,1.02835,2.12772e-05,2.12772e-05,2.12772e-05
